what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214797615
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214821740
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214825639
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214826587
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214829568
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214829588
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214829598
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214830499
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214845911
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214846070
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214846096
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214846114
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214846997
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214851001
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214851128
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214851140
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214851945
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214874631
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214875321
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214877002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214879300
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214880462
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214880610
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214880629
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214880642
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214881660
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214889142
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474214890135
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214890141
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214891780
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474214893186
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214893192
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214893984
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214897066
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214898165
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214898178
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474214898799
no handler,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474214900757
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1474214902733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474214903467
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214903473
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214904839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1474214909794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214909802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214912294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214927924
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214932561
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214938592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214941763
opened,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474214969900
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474214969918
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1474214969960
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474214969996
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474214972656
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474214973656
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474215052640
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474215054812
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474215066364
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474215067784
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474215072602
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474215073910
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215170801
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215183328
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215186890
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215230146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215319384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215320073
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215321659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215345427
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1474215532811
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215536915
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215558844
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474215561047
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474215566786
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1474215591596
activated,editor,com.objectaid.uml.cls,1.1.11,"com.objectaid.uml.ClassDiagramEditor",1474215593061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1474215604929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1474215605607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215612003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1474215625900
